0.47 5.49
1.41 4.08
2.36 3.54
3.3 2.61
4.24 2.09
5.18 1.91
6.13 1.55
7.07 1.47
8.01 1.45
8.95 1.25


0 6.21626
0.1 6.0311
0.2 5.85263
0.3 5.6806
0.4 5.51477
0.5 5.35493
0.6 5.20086
0.7 5.05235
0.8 4.9092
0.9 4.77121
1 4.6382
1.1 4.51
1.2 4.38642
1.3 4.2673
1.4 4.15247
1.5 4.0418
1.6 3.93511
1.7 3.83228
1.8 3.73315
1.9 3.63761
2 3.54551
2.1 3.45673
2.2 3.37116
2.3 3.28868
2.4 3.20917
2.5 3.13254
2.6 3.05867
2.7 2.98746
2.8 2.91882
2.9 2.85266
3 2.78889
3.1 2.72742
3.2 2.66817
3.3 2.61106
3.4 2.556
3.5 2.50294
3.6 2.45179
3.7 2.40248
3.8 2.35495
3.9 2.30914
4 2.26499
4.1 2.22242
4.2 2.18139
4.3 2.14185
4.4 2.10373
4.5 2.06698
4.6 2.03156
4.7 1.99742
4.8 1.96451
4.9 1.93279
5 1.90222
5.1 1.87274
5.2 1.84433
5.3 1.81695
5.4 1.79055
5.5 1.76511
5.6 1.74059
5.7 1.71695
5.8 1.69416
5.9 1.67219
6 1.65102
6.1 1.63061
6.2 1.61094
6.3 1.59198
6.4 1.5737
6.5 1.55609
6.6 1.5391
6.7 1.52274
6.8 1.50696
6.9 1.49175
7 1.47709
7.1 1.46296
7.2 1.44934
7.3 1.43621
7.4 1.42355
7.5 1.41135
7.6 1.39959
7.7 1.38826
7.8 1.37733
7.9 1.3668
8 1.35665
8.1 1.34687
8.2 1.33743
8.3 1.32834
8.4 1.31958
8.5 1.31113
8.6 1.30299
8.7 1.29514
8.8 1.28758
8.9 1.28028
9 1.27325
9.1 1.26648
9.2 1.25995
9.3 1.25365
9.4 1.24759
9.5 1.24174
9.6 1.2361
9.7 1.23066
9.8 1.22543
9.9 1.22038
10 1.21551
